Artist	Date	Titre	D1	D2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Revue dans la Cour des Tuileries] 	8.7	11.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Baalbek. Temple. Entablement] 	7.6	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Paris. La tour Saint-Jacques] 	23.1	18.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	"[Rochers sous la neige, propriété du Pailly] "	12.2	18.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Le Caire. Mosquée d'Amr] 	14.1	9.4
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Smyrne. 1843. Pont des Caravanes 	18.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : la porte Rouge] 	11.2	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : porte du cloître] 	22.7	17.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : portail de la Vierge] 	17.8	11.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Jérusalem : Dôme du Rocher] 	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Jérusalem. Porte des Lions] 	12.1	18.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Palais des Tuileries : pavillon central] 	11.2	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Bosphore S. [Sud] Skengel Keûi (suite) 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	Cour des Tuileries en 1841 	17.6	23.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Trumeau de porte du cloître de Notre-Dame de Paris] 	17.5	11.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Damas. La Grande Mosquée et vue générale] 	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Jérusalem : vue panoramique prise du Mont des Oliviers] 	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : portail sud et portail central] 	17.8	22.9
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Bosphore N. [Nord] Pêcheries 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	"[Cathédrale Notre-Dame de Paris : gâbles des fenêtres, chevet nord, entre le portail du nord et la porte Rouge] "	11.2	17.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	"[Cathédrale Notre-Dame de Paris : bas-relief, chevet nord, Assomption de la Vierge] "	17.7	20.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : portail de Sainte-Anne et trumeau de Saint-Marcel] 	23.0	18.0
	 1836-1839.]| 2016-10-13T12:43:46Z| 2016-10-13T12:43:46Z	"Monuments arabes et moresques de Cordove, Seville et Granade| Livro"		
